68;tile X21Y07;30;39.9970238095;-4.99702380952;5;X21Y07;100;10821610
69;tile X21Y08;30;39.9970238095;-14.9970238095;-5;X21Y08;100;10775804
70;tile X21Y01;30;39.9970238095;55.0029761905;65;X21Y01;100;10760624
71;tile X19Y02;10;19.9970238095;45.0029761905;55;X19Y02;100;10697704
72;tile X31Y01;130;139.99702381;55.0029761905;65;X31Y01;100;10697667
73;tile X31Y09;130;139.99702381;-24.9970238095;-15;X31Y09;100;10697152
74;tile X18Y06;0;9.99702380952;5.00297619048;15;X18Y06;100;10629926
75;tile X17Y04;-10;-0.00297619047619;25.0029761905;35;X17Y04;100;10546923
76;tile X21Y02;30;39.9970238095;45.0029761905;55;X21Y02;100;10497245
77;tile X10Y07;-80;-70.0029761905;-4.99702380952;5;X10Y07;100;10426807
78;tile X31Y02;130;139.99702381;45.0029761905;55;X31Y02;100;10401453
79;tile X26Y00;80;89.9970238095;65.0029761905;75;X26Y00;100;10393913
80;tile X22Y05;40;49.9970238095;15.0029761905;25;X22Y05;100;10383684
81;tile X09Y03;-90;-80.0029761905;35.0029761905;45;X09Y03;100;10355339
82;tile X29Y00;110;119.99702381;65.0029761905;75;X29Y00;100;10094139
83;tile X12Y10;-60;-50.0029761905;-34.9970238095;-25;X12Y10;100;9936701
84;tile X30Y09;120;129.99702381;-24.9970238095;-15;X30Y09;100;9899944
85;tile X20Y10;20;29.9970238095;-34.9970238095;-25;X20Y10;100;9811467
86;tile X22Y03;40;49.9970238095;35.0029761905;45;X22Y03;100;9802994
87;tile X13Y09;-50;-40.0029761905;-24.9970238095;-15;X13Y09;100;9631822
88;tile X14Y00;-40;-30.0029761905;65.0029761905;75;X14Y00;100;9586018
89;tile X23Y04;50;59.9970238095;25.0029761905;35;X23Y04;100;9569030
90;tile X31Y10;130;139.99702381;-34.9970238095;-25;X31Y10;100;9484772
91;tile X09Y02;-90;-80.0029761905;45.0029761905;55;X09Y02;100;9483573
92;tile X28Y05;100;109.99702381;15.0029761905;25;X28Y05;100;9467119
93;tile X30Y00;120;129.99702381;65.0029761905;75;X30Y00;100;9447040
94;tile X21Y05;30;39.9970238095;15.0029761905;25;X21Y05;100;9272440
95;tile X10Y08;-80;-70.0029761905;-14.9970238095;-5;X10Y08;100;9244452
96;tile X04Y01;-140;-130.00297619;55.0029761905;65;X04Y01;100;9219147
97;tile X25Y05;70;79.9970238095;15.0029761905;25;X25Y05;100;9216094
98;tile X08Y01;-100;-90.0029761905;55.0029761905;65;X08Y01;100;9060324
99;tile X11Y02;-70;-60.0029761905;45.0029761905;55;X11Y02;100;9043331
100;tile X30Y10;120;129.99702381;-34.9970238095;-25;X30Y10;100;9007983
101;tile X20Y01;20;29.9970238095;55.0029761905;65;X20Y01;100;9001222
102;tile X23Y03;50;59.9970238095;35.0029761905;45;X23Y03;100;9000567
103;tile X32Y00;140;149.99702381;65.0029761905;75;X32Y00;100;8971703
104;tile X18Y02;0;9.99702380952;45.0029761905;55;X18Y02;100;8934576
105;tile X22Y06;40;49.9970238095;5.00297619048;15;X22Y06;100;8884877
106;tile X11Y11;-70;-60.0029761905;-44.9970238095;-35;X11Y11;100;8659073
107;tile X32Y09;140;149.99702381;-24.9970238095;-15;X32Y09;100;8658231
108;tile X06Y00;-120;-110.00297619;65.0029761905;75;X06Y00;100;8637719
109;tile X21Y04;30;39.9970238095;25.0029761905;35;X21Y04;100;8593202
110;tile X19Y01;10;19.9970238095;55.0029761905;65;X19Y01;100;8297633
111;tile X08Y00;-100;-90.0029761905;65.0029761905;75;X08Y00;100;8171891
112;tile X19Y04;10;19.9970238095;25.0029761905;35;X19Y04;100;8087739
113;tile X09Y00;-90;-80.0029761905;65.0029761905;75;X09Y00;100;8067485
114;tile X27Y05;90;99.9970238095;15.0029761905;25;X27Y05;100;8063055
115;tile X02Y01;-160;-150.00297619;55.0029761905;65;X02Y01;100;8018689
116;tile X19Y08;10;19.9970238095;-14.9970238095;-5;X19Y08;100;8002680
117;tile X08Y04;-100;-90.0029761905;25.0029761905;35;X08Y04;100;7929218
118;tile X30Y03;120;129.99702381;35.0029761905;45;X30Y03;100;7882852
119;tile X19Y09;10;19.9970238095;-24.9970238095;-15;X19Y09;100;7865412
120;tile X25Y00;70;79.9970238095;65.0029761905;75;X25Y00;100;7838746
121;tile X20Y04;20;29.9970238095;25.0029761905;35;X20Y04;100;7837932
122;tile X10Y01;-80;-70.0029761905;55.0029761905;65;X10Y01;100;7801704
123;tile X05Y02;-130;-120.00297619;45.0029761905;55;X05Y02;100;7796304
124;tile X07Y00;-110;-100.00297619;65.0029761905;75;X07Y00;100;7786520
125;tile X20Y03;20;29.9970238095;35.0029761905;45;X20Y03;100;7641776
126;tile X31Y00;130;139.99702381;65.0029761905;75;X31Y00;100;7561482
127;tile X10Y03;-80;-70.0029761905;35.0029761905;45;X10Y03;100;7482291
128;tile X21Y09;30;39.9970238095;-24.9970238095;-15;X21Y09;100;7471581
129;tile X23Y05;50;59.9970238095;15.0029761905;25;X23Y05;100;7440513
130;tile X17Y03;-10;-0.00297619047619;35.0029761905;45;X17Y03;100;7326125
131;tile X16Y05;-20;-10.0029761905;15.0029761905;25;X16Y05;100;7186192
132;tile X05Y00;-130;-120.00297619;65.0029761905;75;X05Y00;100;7008821
133;tile X33Y00;150;159.99702381;65.0029761905;75;X33Y00;100;6921591
134;tile X21Y03;30;39.9970238095;35.0029761905;45;X21Y03;100;6842767
135;tile X33Y01;150;159.99702381;55.0029761905;65;X33Y01;100;6837789
136;tile X26Y05;80;89.9970238095;15.0029761905;25;X26Y05;100;6815235
137;tile X29Y07;110;119.99702381;-4.99702380952;5;X29Y07;100;6758848
138;tile X34Y01;160;169.99702381;55.0029761905;65;X34Y01;100;6737516
139;tile X02Y00;-160;-150.00297619;65.0029761905;75;X02Y00;100;6713916
140;tile X32Y01;140;149.99702381;55.0029761905;65;X32Y01;100;6682064
141;tile X09Y04;-90;-80.0029761905;25.0029761905;35;X09Y04;100;6544764
142;tile X20Y00;20;29.9970238095;65.0029761905;75;X20Y00;100;6437596
143;tile X11Y06;-70;-60.0029761905;5.00297619048;15;X11Y06;100;6421886
144;tile X23Y00;50;59.9970238095;65.0029761905;75;X23Y00;100;6338970
145;tile X15Y00;-30;-20.0029761905;65.0029761905;75;X15Y00;100;6219934
146;tile X10Y00;-80;-70.0029761905;65.0029761905;75;X10Y00;100;6106579
147;tile X11Y01;-70;-60.0029761905;55.0029761905;65;X11Y01;100;6075454
148;tile X24Y00;60;69.9970238095;65.0029761905;75;X24Y00;100;5964841
149;tile X29Y10;110;119.99702381;-34.9970238095;-25;X29Y10;100;5881881
150;tile X03Y00;-150;-140.00297619;65.0029761905;75;X03Y00;100;5828911
151;tile X03Y01;-150;-140.00297619;55.0029761905;65;X03Y01;100;5662545
152;tile X06Y04;-120;-110.00297619;25.0029761905;35;X06Y04;100;5568325
153;tile X08Y05;-100;-90.0029761905;15.0029761905;25;X08Y05;100;5510483
154;tile X35Y00;170;179.99702381;65.0029761905;75;X35Y00;100;5465298
155;tile X10Y12;-80;-70.0029761905;-54.9970238095;-45;X10Y12;100;5394713
156;tile X12Y00;-60;-50.0029761905;65.0029761905;75;X12Y00;100;5361124
157;tile X22Y09;40;49.9970238095;-24.9970238095;-15;X22Y09;100;5326683
158;tile X34Y00;160;169.99702381;65.0029761905;75;X34Y00;100;5298407
159;tile X18Y03;0;9.99702380952;35.0029761905;45;X18Y03;100;5270887
160;tile X10Y06;-80;-70.0029761905;5.00297619048;15;X10Y06;100;5248440
161;tile X04Y00;-140;-130.00297619;65.0029761905;75;X04Y00;100;5193669
162;tile X28Y06;100;109.99702381;5.00297619048;15;X28Y06;100;4941723
163;tile X28Y07;100;109.99702381;-4.99702380952;5;X28Y07;100;4837254
164;tile X17Y02;-10;-0.00297619047619;45.0029761905;55;X17Y02;100;4821679
165;tile X32Y11;140;149.99702381;-44.9970238095;-35;X32Y11;100;4809456
166;tile X07Y05;-110;-100.00297619;15.0029761905;25;X07Y05;100;4797758
167;tile X16Y06;-20;-10.0029761905;5.00297619048;15;X16Y06;100;4777845
168;tile X32Y08;140;149.99702381;-14.9970238095;-5;X32Y08;100;4611607
